step,lr-AdamW,valid_loss,epoch,train_loss
0,0.0005,,,
393,,0.11709323525428772,0,
393,,,0,0.12866713106632233
394,0.0005007707643260632,,,
787,,0.11440964043140411,1,
787,,,1,0.09012637287378311
788,0.0005030783046830818,,,
1181,,0.1137133315205574,2,
1181,,,2,0.0893469825387001
1182,0.0005069083925127511,,,
1575,,0.1139126643538475,3,
1575,,,3,0.08874846249818802
1576,0.0005122374110545524,,,
1969,,0.11060579121112823,4,
1969,,,4,0.08587075769901276
1970,0.0005190325009694061,,,
2363,,0.10623786598443985,5,
2363,,,5,0.08277676999568939
2364,0.0005272517629541223,,,
2757,,0.10351017117500305,6,
2757,,,6,0.07969813793897629
2758,0.0005368445160973058,,,
3151,,0.10212655365467072,7,
3151,,,7,0.07844042032957077
3152,0.0005477516103836648,,,
3545,,0.102052703499794,8,
3545,,,8,0.07756435871124268
3546,0.0005599057914197834,,,
3939,,0.10074488818645477,9,
3939,,,9,0.07697369903326035
3940,0.0005732321151324209,,,
4333,,0.09868451207876205,10,
4333,,,10,0.07565228641033173
4334,0.0005876484098822548,,,
4727,,0.09906800091266632,11,
4727,,,11,0.07494323700666428
4728,0.0006030657831436278,,,
5121,,0.09837722778320312,12,
5121,,,12,0.07454847544431686
5122,0.0006193891696260482,,,
5515,,0.09817760437726974,13,
5515,,,13,0.07421810179948807
5516,0.0006365179174576662,,,
5909,,0.09792131930589676,14,
5909,,,14,0.07395338267087936
5910,0.0006543464088162522,,,
6303,,0.09670311212539673,15,
6303,,,15,0.07384151965379715
6304,0.0006727647111807922,,,
6697,,0.09583382308483124,16,
6697,,,16,0.07365815341472626
6698,0.0006916592551880125,,,
7091,,0.09667638689279556,17,
7091,,,17,0.0738060399889946
7092,0.000710913534914089,,,
7485,,0.0966155007481575,18,
7485,,,18,0.07347560673952103
7486,0.0007304088262635264,,,
7879,,0.0969952940940857,19,
7879,,,19,0.07336434721946716
7880,0.0007500249190355384,,,
8273,,0.09680276364088058,20,
8273,,,20,0.07345438748598099
8274,0.000769640858153921,,,
8667,,0.09527299553155899,21,
8667,,,21,0.07324839383363724
8668,0.0007891356894899173,,,
9061,,0.09683407098054886,22,
9061,,,22,0.07309449464082718
9062,0.0008083892056792359,,,
9455,,0.09530813246965408,23,
9455,,,23,0.07322021573781967
9456,0.0008272826873344367,,,
9849,,0.095640629529953,24,
9849,,,24,0.073229119181633
9850,0.0008456996350822802,,,
10243,,0.09594135731458664,25,
10243,,,25,0.07307661324739456
10244,0.0008635264879122142,,,
10637,,0.09669310599565506,26,
10637,,,26,0.0731782540678978
10638,0.0008806533234065804,,,
11031,,0.09575850516557693,27,
11031,,,27,0.07321283966302872
11032,0.0008969745355348396,,,
